epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.1287,1.76817,7.92529,2.65482,0.71342,0.179,0.14053,0.08859,2.66711,4.00741,3.92932,0.00332005,0.00332005,0.00332005
2,106.099,1.83157,4.84785,2.60619,0.50511,0.27054,0.2277,0.15161,2.01611,2.5245,2.97804,0.00663692,0.00663692,0.00663692
3,157.277,2.01785,3.55992,2.71303,0.57903,0.22381,0.19804,0.13102,2.04301,2.80796,3.16653,0.00993729,0.00993729,0.00993729
4,208.063,2.09744,2.92259,2.73193,0.39828,0.31664,0.2077,0.1512,1.73868,2.27724,2.88334,0.00992575,0.00992575,0.00992575
5,258.853,2.00453,2.52197,2.6422,0.43682,0.35804,0.30291,0.20943,1.81057,1.98796,2.82961,0.009901,0.009901,0.009901
6,309.72,1.91569,2.34071,2.57553,0.27056,0.38327,0.31023,0.21693,1.73413,1.95635,2.66239,0.00987625,0.00987625,0.00987625
7,360.518,1.88981,2.22692,2.56866,0.43467,0.54014,0.38587,0.27921,1.47856,1.75573,2.44543,0.0098515,0.0098515,0.0098515
8,411.267,1.82138,2.11392,2.51237,0.50653,0.4429,0.34936,0.23984,1.72263,1.92361,2.60918,0.00982675,0.00982675,0.00982675
9,462.188,1.78029,2.03804,2.49496,0.29654,0.52312,0.38377,0.28961,1.57824,1.71702,2.51216,0.009802,0.009802,0.009802
10,512.98,1.78206,2.02938,2.49131,0.38137,0.32875,0.2294,0.12789,3.13115,3.12762,4.33855,0.00977725,0.00977725,0.00977725
11,563.828,1.74692,1.98006,2.46121,0.46113,0.54001,0.42807,0.32285,1.34666,1.61308,2.32274,0.0097525,0.0097525,0.0097525
12,614.542,1.72993,1.92142,2.43921,0.46216,0.48487,0.40113,0.27927,1.50479,1.88296,2.45724,0.00972775,0.00972775,0.00972775
13,665.325,1.68816,1.89329,2.42238,0.44826,0.53951,0.44899,0.32705,1.49302,1.5421,2.43192,0.009703,0.009703,0.009703
14,716.204,1.6818,1.86519,2.41012,0.48706,0.54554,0.46581,0.34393,1.46967,1.5732,2.41823,0.00967825,0.00967825,0.00967825
15,766.976,1.68506,1.84761,2.42169,0.48397,0.47473,0.4122,0.31437,1.31592,1.59723,2.31723,0.0096535,0.0096535,0.0096535
16,817.668,1.67098,1.8113,2.40512,0.40084,0.60266,0.49114,0.36024,1.37443,1.48726,2.32539,0.00962875,0.00962875,0.00962875
17,868.544,1.65216,1.80439,2.4042,0.52602,0.5518,0.51965,0.38391,1.37441,1.51235,2.32907,0.009604,0.009604,0.009604
18,919.289,1.64689,1.78743,2.39257,0.608,0.49197,0.46245,0.34503,1.33848,1.52748,2.3062,0.00957925,0.00957925,0.00957925
19,970.054,1.61794,1.75756,2.37388,0.35786,0.61339,0.47115,0.36156,1.3086,1.48214,2.27148,0.0095545,0.0095545,0.0095545
20,1020.9,1.62766,1.75803,2.38806,0.48575,0.55067,0.42092,0.29957,1.68522,1.75712,2.52483,0.00952975,0.00952975,0.00952975
21,1071.67,1.61547,1.73758,2.37659,0.41999,0.59834,0.49349,0.36284,1.5564,1.52098,2.50306,0.009505,0.009505,0.009505
22,1122.67,1.60312,1.69755,2.36126,0.49734,0.59297,0.56198,0.42451,1.22491,1.3468,2.23345,0.00948025,0.00948025,0.00948025
23,1173.53,1.59307,1.68869,2.35763,0.55931,0.50981,0.5008,0.38497,1.25978,1.39881,2.25219,0.0094555,0.0094555,0.0094555
24,1224.22,1.58769,1.68941,2.35642,0.48248,0.61474,0.55096,0.41863,1.2052,1.41258,2.20731,0.00943075,0.00943075,0.00943075
25,1275.14,1.57404,1.67696,2.348,0.46523,0.41367,0.33338,0.208,3.03785,3.22167,4.36885,0.009406,0.009406,0.009406
26,1325.88,1.57068,1.65729,2.34738,0.44169,0.61154,0.54752,0.42112,1.29462,1.38883,2.23604,0.00938125,0.00938125,0.00938125
27,1376.63,1.55186,1.63866,2.3372,0.62899,0.57573,0.58449,0.43963,1.26598,1.31092,2.23375,0.0093565,0.0093565,0.0093565
28,1427.49,1.54901,1.63969,2.33606,0.48844,0.61712,0.56048,0.42776,1.22801,1.30081,2.21762,0.00933175,0.00933175,0.00933175
29,1478.28,1.55922,1.61479,2.32955,0.59097,0.54554,0.53152,0.40575,1.29706,1.38064,2.28157,0.009307,0.009307,0.009307
30,1529.19,1.54703,1.63602,2.33438,0.53238,0.60876,0.576,0.43904,1.4126,1.38195,2.31967,0.00928225,0.00928225,0.00928225
31,1579.94,1.53571,1.60415,2.32981,0.51172,0.64694,0.61761,0.46597,1.20702,1.2945,2.20416,0.0092575,0.0092575,0.0092575
32,1630.67,1.53098,1.58105,2.32009,0.6187,0.58738,0.61213,0.46598,1.26147,1.37466,2.2455,0.00923275,0.00923275,0.00923275
33,1681.51,1.54127,1.58548,2.33712,0.56003,0.65631,0.66254,0.50078,1.24622,1.22239,2.21322,0.009208,0.009208,0.009208
34,1732.25,1.53049,1.54772,2.3209,0.53344,0.6126,0.62317,0.47692,1.21015,1.28945,2.1922,0.00918325,0.00918325,0.00918325
35,1783,1.51656,1.55038,2.31388,0.5611,0.66479,0.63431,0.4849,1.15079,1.28316,2.15896,0.0091585,0.0091585,0.0091585
36,1833.81,1.51517,1.54077,2.31083,0.48897,0.66562,0.61418,0.46954,1.23116,1.28653,2.20098,0.00913375,0.00913375,0.00913375
37,1884.55,1.51924,1.52586,2.30769,0.57536,0.68034,0.63784,0.48914,1.14661,1.2064,2.14885,0.009109,0.009109,0.009109
38,1935.39,1.50537,1.5382,2.2994,0.57008,0.63198,0.64062,0.47891,1.26686,1.23939,2.20723,0.00908425,0.00908425,0.00908425
39,1986.13,1.50216,1.50267,2.30295,0.63658,0.64629,0.67275,0.51818,1.22129,1.16518,2.18222,0.0090595,0.0090595,0.0090595
