epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,112.286,1.76933,7.69217,2.64959,0.71429,0.20346,0.16357,0.11983,2.00795,3.17979,2.99871,0.00332668,0.00332668,0.00332668
2,221.756,1.86522,4.80163,2.62735,0.45954,0.26667,0.19982,0.14306,1.82921,2.57851,2.8376,0.00662705,0.00662705,0.00662705
3,329.731,2.08896,3.51782,2.73549,0.48487,0.34074,0.22091,0.14806,1.81945,2.32372,2.78503,0.00989441,0.00989441,0.00989441
4,438.69,2.13056,2.92056,2.74791,0.46411,0.33072,0.22075,0.15884,1.85331,2.47903,2.85644,0.0098515,0.0098515,0.0098515
5,547.78,2.00436,2.53102,2.63907,0.43531,0.33178,0.28234,0.19946,1.58172,1.93801,2.60555,0.009802,0.009802,0.009802
6,656.296,1.92658,2.34678,2.58724,0.31447,0.43249,0.325,0.23749,1.49448,1.75654,2.47187,0.0097525,0.0097525,0.0097525
7,764.664,1.89613,2.22957,2.56322,0.39102,0.43131,0.30372,0.22631,1.52109,1.8203,2.47662,0.009703,0.009703,0.009703
8,874.472,1.86416,2.13991,2.53971,0.48181,0.50468,0.39962,0.29542,1.43669,1.61379,2.38311,0.0096535,0.0096535,0.0096535
9,984.345,1.83503,2.10336,2.51632,0.29705,0.50378,0.36731,0.26833,1.4768,1.6777,2.41452,0.009604,0.009604,0.009604
10,1096.57,1.76441,2.02623,2.47464,0.46587,0.50872,0.41663,0.30278,1.49176,1.56607,2.42432,0.0095545,0.0095545,0.0095545
11,1206.49,1.77207,1.98869,2.47124,0.50509,0.51998,0.44817,0.33412,1.36716,1.50674,2.33801,0.009505,0.009505,0.009505
12,1314.09,1.73894,1.92704,2.45006,0.38614,0.53385,0.4345,0.33243,1.35251,1.51152,2.34422,0.0094555,0.0094555,0.0094555
13,1419.4,1.71046,1.90313,2.4359,0.51445,0.54291,0.46633,0.34819,1.39294,1.48834,2.34364,0.009406,0.009406,0.009406
14,1524.98,1.68655,1.88088,2.41844,0.51823,0.51616,0.48056,0.35022,1.38612,1.47109,2.32435,0.0093565,0.0093565,0.0093565
15,1630.12,1.69995,1.87149,2.43155,0.39043,0.58931,0.46747,0.3564,1.39986,1.5306,2.37761,0.009307,0.009307,0.009307
16,1734.27,1.67411,1.86074,2.40883,0.38007,0.54207,0.44863,0.33074,1.48264,1.5676,2.43906,0.0092575,0.0092575,0.0092575
17,1839.62,1.6635,1.85029,2.4161,0.31526,0.58741,0.45413,0.33828,1.31495,1.59424,2.3136,0.009208,0.009208,0.009208
18,1945.01,1.67172,1.81987,2.40747,0.44239,0.5383,0.50461,0.37743,1.27625,1.42365,2.25606,0.0091585,0.0091585,0.0091585
19,2050.68,1.64127,1.79013,2.39313,0.55059,0.50307,0.49213,0.35846,1.28624,1.41712,2.26715,0.009109,0.009109,0.009109
20,2156.62,1.63033,1.77414,2.38996,0.4171,0.6025,0.5169,0.39275,1.23628,1.40625,2.22461,0.0090595,0.0090595,0.0090595
21,2262.83,1.6191,1.75862,2.39017,0.56952,0.49872,0.49758,0.38862,1.25084,1.37358,2.22852,0.00901,0.00901,0.00901
22,2368.29,1.60568,1.74332,2.36276,0.59528,0.53086,0.5499,0.42366,1.25223,1.36031,2.23019,0.0089605,0.0089605,0.0089605
23,2473.88,1.61152,1.73486,2.36901,0.57691,0.53894,0.53212,0.40465,1.20293,1.33623,2.20163,0.008911,0.008911,0.008911
24,2579.71,1.61262,1.73817,2.37422,0.42966,0.56752,0.50412,0.39334,1.23746,1.41586,2.20771,0.0088615,0.0088615,0.0088615
25,2685.22,1.58092,1.6955,2.34621,0.61653,0.57616,0.56256,0.43311,1.22124,1.34075,2.18781,0.008812,0.008812,0.008812
26,2790.28,1.59238,1.68984,2.35842,0.46932,0.54666,0.53513,0.40605,1.27069,1.38392,2.23171,0.0087625,0.0087625,0.0087625
27,2896.1,1.58122,1.67815,2.34772,0.59894,0.54748,0.55731,0.42453,1.21784,1.33934,2.18848,0.008713,0.008713,0.008713
28,3001.22,1.5547,1.64359,2.3387,0.58159,0.5834,0.58263,0.44274,1.20055,1.29104,2.19154,0.0086635,0.0086635,0.0086635
29,3106.27,1.56655,1.66925,2.34276,0.48796,0.66045,0.56656,0.42875,1.29715,1.2946,2.23899,0.008614,0.008614,0.008614
30,3212.1,1.54986,1.65622,2.33616,0.59054,0.60812,0.55753,0.42727,1.17569,1.27859,2.16309,0.0085645,0.0085645,0.0085645
31,3317.89,1.55907,1.63505,2.33924,0.49972,0.6727,0.57957,0.45112,1.16136,1.26776,2.15778,0.008515,0.008515,0.008515
32,3423.39,1.54193,1.63686,2.3238,0.6106,0.57154,0.56567,0.44146,1.18037,1.26035,2.1607,0.0084655,0.0084655,0.0084655
33,3527.63,1.5439,1.60964,2.33807,0.61936,0.57221,0.59832,0.47223,1.15634,1.23996,2.14113,0.008416,0.008416,0.008416
34,3633.16,1.53175,1.60975,2.32352,0.50678,0.63499,0.57544,0.44071,1.18038,1.23642,2.15107,0.0083665,0.0083665,0.0083665
35,3736.98,1.52873,1.57938,2.31525,0.53782,0.64607,0.57583,0.44439,1.17654,1.24887,2.16251,0.008317,0.008317,0.008317
36,3841.88,1.52589,1.5711,2.31378,0.54694,0.64486,0.60855,0.46932,1.16994,1.2884,2.16288,0.0082675,0.0082675,0.0082675
37,3947.29,1.52088,1.5783,2.31702,0.5249,0.65169,0.61875,0.47616,1.16596,1.22086,2.14792,0.008218,0.008218,0.008218
